product_id,name,layer,purpose,capabilities,data_objects,domains,event_codes,dependencies,source_evidence,prototype_status
risk_event_hub,风控事件接入与场景配置中心,data_access,将注册、登录、KYC、法币充提、链上充提、现货、内部转账、活动等业务事件标准化接入风控。,"['event_schema', 'parameter_registry', 'device_fingerprint', 'country_ip', 'latency_sla']","['event_code', 'event_time', 'user_id', 'device_id', 'ip_country', 'transaction_context']","['account_security', 'transaction_security', 'fund_security', 'aml_compliance', 'marketing_abuse']","['UserRegister', 'UserLogin', 'UserKyc', 'ChainWithdraw', 'InternalTransfer', 'SpotTrade', 'CampaignReward']",[],"['W28_IMG_5710_5714_event_catalog', 'weekly_event_configuration_review']",implemented
realtime_feature_platform,实时特征指标平台,feature_platform,管理实时、离线和衍生特征的创建、迭代、下线、释义、标签、应用场景与空置率。,"['feature_lifecycle', 'feature_tags', 'vacancy_rate', 'quantile_view', 'semantic_search', 'decision_time_validation']","['feature_name', 'definition', 'freshness', 'source', 'owner', 'event_scope', 'missing_rate']","['account_security', 'transaction_security', 'fund_security', 'aml_compliance', 'marketing_abuse']","['RiskScoreDaily', 'ChainWithdraw', 'UserLogin', 'InternalTransfer', 'SpotTrade', 'CampaignReward']",['risk_event_hub'],"['W25_core_risk_system_OKR', 'W28_feature_platform_OKR']",implemented
counter_service_180d,180天实时计数器与窗口服务,feature_platform,为次数、金额、均值、最大值、去重数和时间间隔等策略特征提供统一窗口聚合。,"['count', 'sum', 'average', 'max', 'distinct_count', 'interval', 'configurable_window']","['user_id', 'event_code', 'window', 'aggregation', 'metric_value']","['account_security', 'transaction_security', 'fund_security', 'aml_compliance', 'marketing_abuse']","['RiskScoreDaily', 'ChainWithdraw', 'InternalTransfer', 'UserLogin', 'CampaignReward']","['risk_event_hub', 'realtime_feature_platform']","['W25_main_site_180d_counter_migration', 'W28_counter_capability']",modeled
transaction_position_table,交易风控逻辑持仓表,data_foundation,统一交易、持仓和资金变化口径，为交易类策略与回溯提供准确底表。,"['position_snapshot', 'trade_aggregation', 'consistency_check', 'temporal_join']","['user_id', 'symbol', 'position', 'balance', 'trade_amount', 'snapshot_time']","['transaction_security', 'fund_security']","['SpotTrade', 'InternalTransfer']",['risk_event_hub'],['W28_transaction_position_table_accuracy'],catalog_only
rule_engine,规则引擎与策略配置中心,decision_engine,用可解释DSL配置条件树、阈值、动作、策略标签和版本。,"['rule_dsl', 'nested_logic', 'strategy_tags', 'versioning', 'event_binding', 'action_binding']","['strategy_id', 'condition_tree', 'expression', 'action', 'status', 'version']","['account_security', 'transaction_security', 'fund_security', 'aml_compliance', 'marketing_abuse']","['RiskScoreDaily', 'ChainWithdraw', 'InternalTransfer', 'UserLogin', 'SpotTrade', 'CampaignReward']","['realtime_feature_platform', 'risk_event_hub']","['W25_rule_engine_approval', 'W27_test_environment_rule_engine', 'W28_AI_assisted_rule_configuration']",implemented
strategy_simulation,策略回溯与测试环境,decision_engine,基于历史数据和模拟状态完成未上线策略独立回溯、Development选择、OOT验证和发布前效果检查。,"['out_of_time_backtest', 'candidate_comparison', 'precision_recall', 'false_positive_rate', 'alert_capacity', 'loss_capture', 'stability', 'test_run_id', 'data_snapshot_id', 'feature_vacancy', 'quantile_view', 'independent_evaluation']","['strategy_version', 'sample_snapshot', 'alert_result', 'label', 'metrics']","['account_security', 'transaction_security', 'fund_security', 'aml_compliance', 'marketing_abuse']","['RiskScoreDaily', 'ChainWithdraw', 'InternalTransfer', 'UserLogin', 'SpotTrade', 'CampaignReward']","['rule_engine', 'realtime_feature_platform', 'transaction_position_table']","['W25_strategy_backtracking_1to1_simulation', 'W28_simulation_state_independent_evaluation']",implemented
strategy_approval,策略上线审批、二人复核与效果工单,governance,管理DRAFT、SIMULATION、PENDING_REVIEW、APPROVED、ONLINE、PAUSED、RETIRED状态以及双人复核。,"['status_machine', 'dual_review', 'audit_log', 'rollback', 'manual_override_preservation', 'independent_second_review', 'three_workday_observation', 'weekly_monthly_review', 'effectiveness_label']","['approval', 'reviewer', 'reason', 'status_transition', 'audit_event']","['account_security', 'transaction_security', 'fund_security', 'aml_compliance', 'marketing_abuse']","['RiskScoreDaily', 'ChainWithdraw', 'InternalTransfer', 'UserLogin', 'SpotTrade', 'CampaignReward']","['rule_engine', 'strategy_simulation', 'strategy_effectiveness_ticket']","['W25_standardized_strategy_approval', 'W28_strategy_lifecycle_governance']",implemented
custom_alert_center,风控策略命中与定制告警中心,operations,承接规则引擎与离线策略命中结果，生成带策略版本、特征快照和证据哈希的调查告警。,"['transaction_monitoring', 'rule_score', 'anomaly_score', 'sequence_window', 'idempotent_alert', 'evidence_hash']","['transaction_event', 'alert_id', 'rule_score', 'anomaly_score', 'feature_snapshot', 'evidence_hash']","['transaction_security', 'fund_security', 'aml_compliance']","['TransactionMonitoringAlert', 'ChainWithdraw', 'InternalTransfer', 'SpotTrade']","['rule_engine', 'strategy_approval']","['W25_custom_alert', 'W28_ticket_effectiveness_feedback']",implemented
penalty_verification_center,处罚与身份验证中心,disposition,对高风险用户执行延迟、限额、暂停出金、交易限制、冻结、VideoKYC等受控处置。,"['withdrawal_restriction', 'transaction_restriction', 'batch_release', 'video_kyc', 'notification', 'approval_gate']","['user_id', 'action', 'reason', 'operator', 'approver', 'effective_time', 'release_time']","['account_security', 'fund_security', 'aml_compliance']","['RiskScoreDaily', 'ChainWithdraw', 'WithdrawAddressAdd', 'UserLogin']","['custom_alert_center', 'strategy_approval', 'user_risk_profile']","['W26_KA_exempt_manual_penalty_approval', 'W28_penalty_center_expansion']",implemented
user_risk_profile,用户风险画像与L1-L4分层,decision_intelligence,结合Onboarding KYC与T+1行为评分，维护自动/人工风险来源、历史和差异化处置。,"['onboarding_score', 'dynamic_t1_score', 'L1_L4_tier', 'risk_history', 'manual_override', 'ordinary_profile_confidentiality']","['user_id', 'score', 'tier', 'risk_source', 'history', 'restriction_status', 'rfi_status']","['aml_compliance', 'account_security', 'fund_security']","['RiskScoreDaily', 'UserKyc', 'ChainWithdraw']","['realtime_feature_platform', 'counter_service_180d', 'risk_graph']","['W27_user_profile_audit_remediation', 'systematic_automatic_customer_specific_scoring']",implemented
risk_graph,Risk Graph关联风险分析,decision_intelligence,基于设备、邮箱、手机号、KYC证件、提现地址等关系，输出一跳/二跳风险及可审计关联路径。,"['one_hop', 'two_hop', 'relation_weighting', 'community_risk', 'temporal_fund_flow', 'ordered_path', 'path_explanation']","['user_node', 'identifier_node', 'wallet_node', 'transaction_edge', 'relation_weight', 'ordered_path']","['account_security', 'fund_security', 'aml_compliance', 'marketing_abuse']","['RiskScoreDaily', 'ChainWithdraw', 'UserLogin', 'CampaignReward']",['risk_event_hub'],"['W28_RiskGraph_Fraud_analysis', 'W27_graph_PRD_assignment']",implemented
chainalysis_label_center,链上地址标签与KYT风险中心,external_intelligence,接入高风险、制裁、混币器、赌博等链上标签并沉淀多级标签管理。,"['address_label', 'risk_exposure', 'hop_distance', 'tag_version', 'strategy_binding']","['address', 'label', 'provider', 'risk_level', 'exposure', 'observed_at']","['fund_security', 'aml_compliance']","['ChainWithdraw', 'RiskScoreDaily']",['risk_event_hub'],"['W28_Chainalysis_tag_landing', 'AML_fund_monitoring']",modeled
fraud_model_lab,Fraud模型与特征实验室,model_platform,支持黑白样本构造、特征区分度、LR/Tree/XGBoost、阈值选择、难例分析和模型监控。,"['sample_design', 'auc_ks_iv_lift', 'model_training', 'threshold_search', 'feature_importance', 'hard_case_mining']","['training_set', 'feature_matrix', 'model_version', 'threshold', 'benchmark']","['account_security', 'transaction_security', 'fund_security', 'aml_compliance', 'marketing_abuse']","['RiskScoreDaily', 'ChainWithdraw', 'UserLogin', 'SpotTrade', 'CampaignReward']","['realtime_feature_platform', 'risk_graph', 'strategy_simulation']","['W28_Q4_fraud_feature_mining', 'decision_tree_xgboost_test']",implemented
bank_joint_defense,银行联防联控与通道风险,external_intelligence,通过银行风险比例、卡一致性、联防反馈和高风险通道信息辅助判断资金来源与去向。,"['bank_risk_ratio', 'account_name_match', 'card_count', 'feedback_loop', 'partner_rule']","['bank_code', 'bank_name', 'card_owner', 'fraud_ratio', 'partner_feedback']","['payment_fraud', 'fund_security', 'aml_compliance']","['FiatDeposit', 'FiatWithdraw', 'ChainWithdraw']","['risk_event_hub', 'fraud_model_lab']","['W28_bank_joint_defense', 'Q4_fraud_bank_features']",modeled
account_security_monitor,账户安全H+1/T+1监控,monitoring,监控注册、登录、设备、IP和敏感信息变更的异常波动并快速触发告警。,"['h1_dashboard', 't1_dashboard', 'baseline_deviation', 'five_minute_alert', 'ato_sequence']","['metric_time', 'historical_mean', 'current_value', 'deviation', 'alert']","['account_security', 'marketing_abuse']","['UserLogin', 'WithdrawAddressAdd', 'UserPasswordModification']","['counter_service_180d', 'custom_alert_center']",['W28_account_security_monitoring'],modeled
fund_security_control,资金安全与兜底策略中心,decision_engine,覆盖内部转账、共享订单、平台出金、异常资金转移和系统账户等资金安全场景。,"['fund_flow_monitoring', 'internal_transfer_rules', 'withdrawal_protection', 'loss_prevention', 'action_escalation']","['fund_event', 'path', 'amount', 'counterparty', 'account_type', 'action']","['fund_security', 'aml_compliance']","['InternalTransfer', 'ChainWithdraw']","['rule_engine', 'risk_graph', 'chainalysis_label_center']",['W28_fund_security_strategy_OKR'],modeled
cms_case_management,CMS合规案件管理,compliance_automation,管理案件创建、审核、监管回复、补充材料、完成/取消等生命周期及审计日志。,"['case_lifecycle', 'status_history', 'evidence_management', 'handler_assignment', 'search_export']","['case_id', 'uid', 'source', 'office', 'status', 'evidence', 'reply_record']","['regulatory_operations', 'aml_compliance']",['RegulatoryCase'],[],"['W25_W28_CMS_upgrade', 'anti_fraud_case_fields']",implemented
str_workflow,STR一键内部候选案件与历史查询,compliance_automation,支持AML策略命中后一键创建内部CMS/STR候选案件、查询用户风控历史并记录MASAK反馈；所有提交均需合规人工复核。,"['aml_strategy_trigger', 'cms_one_click_case', 'risk_history_lookup', 'dedup', 'evidence_snapshot', 'human_str_decision', 'masak_feedback_status']","['strategy_id', 'strategy_version', 'uid', 'risk_history', 'evidence', 'str_decision', 'masak_feedback']","['aml_compliance', 'regulatory_operations']","['RiskScoreDaily', 'RegulatoryCase']","['rule_engine', 'cms_case_management', 'strategy_approval', 'strategy_effectiveness_ticket']","['W28_IMG_5737_CMS_one_click_STR', 'W28_AML_strategy_auto_STR', 'W28_STR_MASAK_feedback']",implemented
travel_rule,Travel Rule信息与豁免审批,compliance_control,管理订单金额、币种、对手方VASP信息、豁免名单和审批链路。,"['required_fields', 'exemption', 'approval', 'traceability', 'transfer_context']","['order_id', 'amount', 'currency', 'originator', 'beneficiary', 'vasp', 'exemption']","['aml_compliance', 'fund_security']","['ChainWithdraw', 'TravelRuleTransfer']","['risk_event_hub', 'list_management']",['W27_W28_Travel_Rule_optimization'],catalog_only
kyc_kyb_vkyc,KYC智能分流与EDD辅助,identity,消费上游核验、字段一致性、PEP/制裁、资金来源及实际/预期活动偏离，路由人工RFI、EDD或VideoKYC。,"['structured_verification', 'consistency_check', 'sanctions_pep_routing', 'expected_activity_deviation', 'risk_tier', 'rfi_edd_vkyc']","['user_id', 'kyc_snapshot', 'verification_result', 'risk_factor', 'risk_tier', 'recommended_action']","['aml_compliance', 'account_security']","['UserKycStart', 'UserKyc', 'RiskScoreDaily']",['risk_event_hub'],"['W27_KYC_fields', 'MASAK_occupation_list', 'W28_VKYC']",implemented
list_management,黑白名单、PEP与制裁名单管理,external_intelligence,管理Fraud黑名单、白名单/豁免、PEP、制裁及高风险标签，并控制可见性与处置差异。,"['blacklist', 'whitelist', 'pep', 'sanctions', 'exemption', 'tag_hierarchy']","['entity', 'list_type', 'source', 'effective_at', 'reason', 'status']","['aml_compliance', 'account_security', 'fund_security']","['RiskScoreDaily', 'ChainWithdraw', 'UserLogin']",[],"['W25_blacklist_followup', 'W27_sanctions_pep_filter']",catalog_only
audit_evidence_hub,审计证据与系统拓扑资料中心,governance,管理审计控制项、交付材料、系统架构、数据口径、负责人、状态和证据追踪。,"['control_matrix', 'evidence_request', 'ownership', 'status_tracking', 'system_topology', 'audit_trace']","['control_item', 'evidence', 'owner', 'due_date', 'status', 'system_component']","['regulatory_operations', 'aml_compliance']",['AuditEvidence'],"['strategy_approval', 'cms_case_management', 'str_workflow']","['W25_system_topology', 'W28_audit_delivery_matrix']",modeled
risk_knowledge_center,风控知识、SOP与Risk Map中心,knowledge,沉淀行业、业务线、风险场景、黑灰产、特征、规则、模型、处置和监控指标。,"['risk_map', 'scenario_catalog', 'feature_catalog', 'model_matrix', 'sop_retrieval', 'strategy_patterns']","['scenario', 'risk_type', 'attacker', 'feature', 'rule', 'model', 'action', 'metric']","['account_security', 'transaction_security', 'fund_security', 'aml_compliance', 'marketing_abuse', 'payment_fraud', 'credit_risk']","['RiskScoreDaily', 'ChainWithdraw', 'InternalTransfer', 'UserLogin', 'SpotTrade', 'CampaignReward']","['realtime_feature_platform', 'rule_engine']",['W27_Sylvia_anti_fraud_knowledge_assignment'],implemented
risk_dashboard,风控大盘与冻结客户看板,monitoring,汇总冻结状态、解除情况、异常案件、客户处理结果、周报/月报和风险域趋势。,"['portfolio_view', 'frozen_user_view', 'trend', 'drilldown', 'report_ingestion']","['user_id', 'risk_domain', 'restriction_status', 'case_result', 'metric_date']","['account_security', 'transaction_security', 'fund_security', 'aml_compliance', 'marketing_abuse']",['RiskScoreDaily'],"['user_risk_profile', 'custom_alert_center', 'strategy_effectiveness_ticket']",['W28_risk_dashboard_and_frozen_customers'],modeled
market_kline_feed,Kline行情与市场异常数据服务,external_intelligence,为现货异常交易、价格偏离和市场操纵场景提供行情与K线特征。,"['kline', 'return', 'volatility', 'volume', 'price_deviation']","['symbol', 'interval', 'open', 'high', 'low', 'close', 'volume']",['transaction_security'],['SpotTrade'],['risk_event_hub'],['W28_kline_data_capture'],catalog_only
strategy_effectiveness_ticket,策略运营效果打标工单,governance,由策略运营对上线或模拟策略效果进行版本化打标，为保留、调参、暂停或下线提供依据。,"['effectiveness_label', 'strategy_version_binding', 'three_day_observation', 'false_positive_feedback', 'business_metric_delta', 'weekly_monthly_review']","['ticket_id', 'strategy_id', 'version', 'test_run_id', 'label', 'metrics', 'reviewer', 'recommendation']","['account_security', 'transaction_security', 'fund_security', 'aml_compliance', 'marketing_abuse']","['RiskScoreDaily', 'ChainWithdraw', 'SpotTrade', 'CampaignEnroll']","['strategy_simulation', 'strategy_approval', 'custom_alert_center']","['W28_Ticket_Module_100pct_effectiveness_tagging', 'strategy_full_lifecycle_SOP']",implemented
